v3_row,split_design,context,scenario_desc,emotion_v3,gesture_v3,motion_v3,missing_v3,intent,goal,why,action,test_tags,override_note,gt_emotion,emotion_masked,context_masked,gesture_masked,motion_masked,observed_tuple,derived_from_row,n_clips
1,train,classroom,Student waves at robot with happy face while walking toward it.,happy,wave,walk,,F01,"G1, G3","Wave + happy is the canonical greeting. Direction (toward the robot) no longer changes the INTENT — V4 folded farewell into F01, so #18 carries the same class — but it still selects the ACTION (A01 approach-and-prompt vs A09 wave-back-only), and no channel in this table reports direction. Treat the F01 action split as a known open gap, not a learned distinction.",A01,,,Happy,False,False,False,False,classroom|happy|wave|walk,,38
2,train,classroom,Student gives thumbs up with happy face while sitting.,happy,thumbs up,sit,,F01,"G1, G3",Emotion and gesture align → positive acknowledgment. Alignment anchor for the conflict rows (#33 train; #28/#29/#59 test): emotion resolves gesture polarity.,A01,,,Happy,False,False,False,False,classroom|happy|thumbs up|sit,,54
3,train,classroom,"Student suddenly stands up from chair, startled, throwing both hands up.",surprise,both hands up,stand,,F02,G1,Sudden stand + both hands up + surprise = alarm state; robot halts and checks. Contrast #14: the angry variant is frustration (F07) — emotion changes the class.,A14,,,Surprise,False,False,False,False,classroom|surprise|both hands up|stand,,40
4,train,classroom,"Student jumps back from a desk frightened, both hands up.",fear,both hands up,step back,,F02,G1,"Adds fear to the classroom (absent in V2). Fear + recoil from object + hands up = hazard response; classroom context routes the alert to the teacher (A14), not a fire dispatch.",A14,,,Fear,False,False,False,False,classroom|fear|both hands up|step back,,48
5,train,classroom,Student beckons robot over with neutral face while sitting.,neutral,beckoning,sit,,F03,"G1, G3",Rule neutral→no action misses an explicit summons. Beckoning must not be suppressed by neutral emotion; all cues are weighed jointly.,A04,,,Neutral,False,False,False,False,classroom|neutral|beckoning|sit,,59
6,train,classroom,"Student beckons the robot to their desk with neutral face, seated — room-identity sensor offline.",neutral,beckoning,sit,context,F03,G2,Context masked in training: beckon + neutral + seated is still a summons (beckoning is context-free). Trains context-dropout robustness; test #24 uses a different tuple.,A04,,,Neutral,False,True,False,False,?|neutral|beckoning|sit,5,59
7,train,classroom,Student raises hand with neutral face while sitting at desk.,neutral,raise hand,sit,,F04,G1,All four cues needed: raise hand + sit + classroom + neutral = academic help request. The same gesture flips class by emotion (#11) and by context (#52).,A05,,,Neutral,False,False,False,False,classroom|neutral|raise hand|sit,,70
8,train,classroom,"Student with sad face gives thumbs down toward own worksheet, barely moving, seated.",sad,thumbs down,sit,,F04,G1,Sad + thumbs down at own work + static = distress signal. Minimal pair with #15 (angry variant → F07): emotion disambiguates identical gesture+motion.,A05,,,Sad,False,False,False,False,classroom|sad|thumbs down|sit,,61
9,train,classroom,"Student slumped and sad, staring down — hands below desk, no gesture captured.",sad,[missing],sit,gesture,F04,G2,Gesture occluded (hands below camera). Sad + slumped + classroom still → help request. Moved from V2 Test so the missing-gesture pattern is learnable; tests now use #23/#53.,A05,,,Sad,False,False,True,False,classroom|sad|?|sit,8,61
10,train,classroom,"Student writes notes during lecture, occasionally pointing at the notebook, neutral face.",neutral,idle,sit,,F05,"G1, G3",Rule neutral+sit→idle /interruptible. Wrong: task-directed point at own notes = focused work; robot must suppress engagement.,A06,,,Neutral,False,False,False,False,classroom|neutral|idle|sit,,41
