clip_id,v3_row,context,scenario_dir,intent,action,split_design,person_id,filepath,view,width,height,fps,n_frames,duration_s,sha256,recorded_at
S01_F01_c001,1,classroom,S01_F01,F01,A01,train,P02,classroom/S01_F01/S01_F01_c001.mp4,realsense_480p,640,480,15.0,99,6.6,01b97fc82bb111990fce443f877c555ffc092468ca8544b7001597a3ff19c5eb,
S01_F01_c002,1,classroom,S01_F01,F01,A01,train,P02,classroom/S01_F01/S01_F01_c002.mp4,realsense_480p,640,480,15.0,85,5.667,cd487efd8aa9148973b0535b001f592fb875775be8fd217d6cf88abedca9aa8c,
S01_F01_c003,1,classroom,S01_F01,F01,A01,train,P01,classroom/S01_F01/S01_F01_c003.mp4,realsense_480p,640,480,15.0,73,4.867,2b48c936abe7aa5a1093089a79e758dc046b58a1c9e1b861e99a78c407d8bf5d,
S01_F01_c004,1,classroom,S01_F01,F01,A01,train,P01,classroom/S01_F01/S01_F01_c004.mp4,realsense_480p,640,480,15.0,82,5.467,f335f3f4dddaaac9eca4bdf792952c6d7d824d904e6cca2cb7a20a14903e7a4b,
S01_F01_c005,1,classroom,S01_F01,F01,A01,train,P01,classroom/S01_F01/S01_F01_c005.mp4,realsense_480p,640,480,15.0,78,5.2,f76bc70f6339aa1bd77c10f3e08398b5c08538b8a609a3be27e38756cb6cd822,
S01_F01_c006,1,classroom,S01_F01,F01,A01,train,P01,classroom/S01_F01/S01_F01_c006.mp4,realsense_480p,640,480,15.0,77,5.133,3fc14f6e43cdc43d088bb6afb0cc86c6345a1d4c2233506173d4ad4ff8e58b72,
S01_F01_c007,1,classroom,S01_F01,F01,A01,train,P04,classroom/S01_F01/S01_F01_c007.mp4,realsense_480p,640,480,15.0,91,6.067,80bfa596bc3e3888d0ad16a2ca0a3bba0f6efdecf8e199be1b27383bfaad9f21,
S01_F01_c008,1,classroom,S01_F01,F01,A01,train,P02,classroom/S01_F01/S01_F01_c008.mp4,realsense_480p,640,480,15.0,67,4.467,741795fed6722317c423090793a0d13799eebfdf1a0c5731858db6cd8cb8463c,
S01_F01_c009,1,classroom,S01_F01,F01,A01,train,P02,classroom/S01_F01/S01_F01_c009.mp4,realsense_480p,640,480,15.0,64,4.267,c5f617680580b8553a9469f6caafa4e9b663f61a56c901863bc5d0e923115d8a,
S01_F01_c010,1,classroom,S01_F01,F01,A01,train,P02,classroom/S01_F01/S01_F01_c010.mp4,realsense_480p,640,480,15.0,67,4.467,94e477263b6b7d88df2f507756ec860409733350e9154aff014f1e458706dd06,
S01_F01_c011,1,classroom,S01_F01,F01,A01,train,P02,classroom/S01_F01/S01_F01_c011.mp4,realsense_480p,640,480,15.0,62,4.133,aaceb440fdd0f5126e83e0f2dbaa5a3baf1ed1595786133f0ccff9bb8623ca02,
S01_F01_c013,1,classroom,S01_F01,F01,A01,train,P01,classroom/S01_F01/S01_F01_c013.mp4,realsense_480p,640,480,15.0,76,5.067,f0d04799807cacccf782e6dd0b576e046373817626d15d3fa402b3a80a476c05,
S01_F01_c014,1,classroom,S01_F01,F01,A01,train,P01,classroom/S01_F01/S01_F01_c014.mp4,realsense_480p,640,480,15.0,89,5.933,9de9bde1f0afa9919f60fd45d3ed81d2fdc603c759c137395d1e91d6f51bcb36,
S01_F01_c015,1,classroom,S01_F01,F01,A01,train,P01,classroom/S01_F01/S01_F01_c015.mp4,realsense_480p,640,480,15.0,85,5.667,accc1af60e49379062afaa6f7bfe9b12ad437ddc28c9a1c54aaaf156dc9daf02,
S01_F01_c016,1,classroom,S01_F01,F01,A01,train,P01,classroom/S01_F01/S01_F01_c016.mp4,realsense_480p,640,480,15.0,84,5.6,978a6f9816883252849d6f8cf18cbc00e110269143d391be7c0cda044373e0e9,
S01_F01_c017,1,classroom,S01_F01,F01,A01,train,P02,classroom/S01_F01/S01_F01_c017.mp4,realsense_480p,640,480,15.0,91,6.067,a76f328ba02dd86d1add01f251bbb7def26f3c58be20bee3629196167994ee31,
S01_F01_c018,1,classroom,S01_F01,F01,A01,train,P02,classroom/S01_F01/S01_F01_c018.mp4,realsense_480p,640,480,15.0,89,5.933,1fe35ed633bbe2678b6f58299e9b54b3a4756ebb9b57f20b9a42af4040a2f3ff,
S01_F01_c019,1,classroom,S01_F01,F01,A01,train,P02,classroom/S01_F01/S01_F01_c019.mp4,realsense_480p,640,480,15.0,83,5.533,35fcf5adeb5fad774d6ae21d8b957e4bf5ded77dd286dbad1bc78d21561079db,
S01_F01_c020,1,classroom,S01_F01,F01,A01,train,P02,classroom/S01_F01/S01_F01_c020.mp4,realsense_480p,640,480,15.0,84,5.6,0104a1145b68c01de64fc90731b5d15e9a0e773f84e47b6831a30277db224314,
S01_F01_c021,1,classroom,S01_F01,F01,A01,train,P04,classroom/S01_F01/S01_F01_c021.mp4,realsense_480p,640,480,15.0,84,5.6,1e2e41baf0b2e965efda710147e08a2e67dd4459a6538805a4012700f088aeab,
