scenario_id,split,context,description,emotion,gesture,motion,direction,missing_cues,intent,intent_code,action,action_code,intent_idx,intent_confidence,motion_idx,direction_idx,human_speed,human_is_moving,context_idx,action_idx,target_v,target_omega,target_d,target_linear_v,target_angular_w,target_comfort_d
1,train,classroom,Student waves at robot with happy face while walking toward it,happy,wave,walking,toward_robot,,F01,F01,A01,A01,0,0.95,2,0,0.8,1.0,0,0,0.0,0.0,1.0,0.0,0.0,1.0
2,train,classroom,Student gives thumbs up with happy face while sitting,happy,thumbs_up,sitting,stationary,,F01,F01,A01,A01,0,0.95,0,5,0.0,0.0,0,0,0.0,0.0,1.0,0.0,0.0,1.0
3,train,classroom,Student suddenly stands up from chair startled throwing both hands up,surprise,both_hands_up,standing,stationary,,F02,F02,A14,A14,1,0.95,1,5,0.0,0.0,0,13,0.0,0.1,1.8,0.0,0.1,1.8
4,train,classroom,Student jumps back from a desk frightened both hands up,fear,both_hands_up,stepping_back,away_from_robot,,F02,F02,A14,A14,1,0.95,3,1,0.5,1.0,0,13,0.0,0.1,1.8,0.0,0.1,1.8
5,train,classroom,Student beckons robot over with neutral face while sitting,neutral,beckoning,sitting,stationary,,F03,F03,A04,A04,2,0.95,0,5,0.0,0.0,0,3,0.3,0.2,0.8,0.3,0.2,0.8
6,train,classroom,Student beckons the robot to their desk with neutral face seated context sensor offline,neutral,beckoning,sitting,stationary,context,F03,F03,A04,A04,2,0.95,0,5,0.0,0.0,0,3,0.3,0.2,0.8,0.3,0.2,0.8
7,train,classroom,Student raises hand with neutral face while sitting at desk,neutral,raise_hand,sitting,stationary,,F04,F04,A05,A05,3,0.95,0,5,0.0,0.0,0,4,0.0,0.1,1.0,0.0,0.1,1.0
8,train,classroom,Student with sad face gives thumbs down toward own worksheet barely moving seated,sad,thumbs_down,sitting,stationary,,F04,F04,A05,A05,3,0.95,0,5,0.0,0.0,0,4,0.0,0.1,1.0,0.0,0.1,1.0
9,train,classroom,Student slumped and sad staring down hands below desk no gesture captured,sad,none,sitting,stationary,gesture,F04,F04,A05,A05,3,0.95,0,5,0.0,0.0,0,4,0.0,0.1,1.0,0.0,0.1,1.0
10,train,classroom,Student writes notes during lecture occasionally pointing at the notebook neutral face,neutral,none,sitting,stationary,,F05,F05,A06,A06,4,0.95,0,5,0.0,0.0,0,5,0.0,0.0,1.5,0.0,0.0,1.5
11,train,classroom,Student smiles and raises hand while sitting volunteering to answer the teacher,happy,raise_hand,sitting,stationary,,F05,F05,A06,A06,4,0.95,0,5,0.0,0.0,0,5,0.0,0.0,1.5,0.0,0.0,1.5
12,train,classroom,Student walks toward robot in a narrow aisle carrying books hands occupied gesture not captured,neutral,MISSING,walking,toward_robot,gesture,F06,F06,A11,A11,5,0.95,2,0,0.8,1.0,0,10,0.3,0.5,0.5,0.3,0.5,0.5
13,train,classroom,Student annoyed by the robot hovering waves it away with angry face standing,angry,wave,standing,stationary,,F06,F06,A11,A11,5,0.95,1,5,0.0,0.0,0,10,0.3,0.5,0.5,0.3,0.5,0.5
14,train,classroom,Student raises both hands in frustration rigid posture standing,angry,both_hands_up,standing,stationary,,F07,F07,A08,A08,6,0.95,1,5,0.0,0.0,0,7,0.0,0.05,1.5,0.0,0.05,1.5
15,train,classroom,Student crumples a worksheet and gives thumbs down with angry face seated,angry,thumbs_down,sitting,stationary,,F07,F07,A08,A08,6,0.95,0,5,0.0,0.0,0,7,0.0,0.05,1.5,0.0,0.05,1.5
16,train,classroom,Student pushes worksheet away gives thumbs down with disgusted face stepping back from desk,disgust,thumbs_down,stepping_back,away_from_robot,,F08,F08,A07,A07,7,0.95,3,1,0.5,1.0,0,6,0.0,0.0,1.2,0.0,0.0,1.2
17,train,classroom,Student grimaces at a long assignment gives thumbs down slumping back in chair,disgust,thumbs_down,sitting,stationary,,F08,F08,A07,A07,7,0.95,0,5,0.0,0.0,0,6,0.0,0.0,1.2,0.0,0.0,1.2
18,test,classroom,Student waves goodbye with happy face while walking to the door at dismissal,happy,wave,walking,toward_exit,,F01,F01,A09,A09,0,0.95,2,3,0.8,1.0,0,8,0.0,0.0,1.5,0.0,0.0,1.5
19,train,classroom,Student packs bag and waves briefly with neutral face heading toward the door,neutral,wave,walking,toward_exit,,F01,F01,A10,A10,0,0.95,2,3,0.8,1.0,0,9,0.0,0.0,1.5,0.0,0.0,1.5
20,train,classroom,Student pushes assignment aside and rests head on desk sad no gesture motionless,sad,none,sitting,stationary,,F09,F09,A12,A12,8,0.95,0,5,0.0,0.0,0,11,0.0,0.0,1.0,0.0,0.0,1.0
21,train,classroom,Student stands by desk staring at a failed test sad arms hanging no gesture,sad,none,standing,stationary,,F09,F09,A12,A12,8,0.95,1,5,0.0,0.0,0,11,0.0,0.0,1.0,0.0,0.0,1.0
22,test,classroom,Student waves while walking toward robot face occluded by a held book emotion not captured,MISSING,wave,walking,toward_robot,emotion,F01,F01,A01,A01,0,0.95,2,0,0.8,1.0,0,0,0.0,0.0,1.0,0.0,0.0,1.0
23,test,classroom,Visitor standing in a hospital waiting area gasps in surprise raising both hands as fixture detaches,surprise,both_hands_up,standing,stationary,,F02,F02,A02,A02,1,0.95,1,5,0.0,0.0,0,1,0.0,0.0,2.0,0.0,0.0,2.0
24,test,classroom,Student beckons robot while walking toward the supply shelf room-identity sensor offline,neutral,beckoning,walking,toward_object,context,F03,F03,A13,A13,2,0.95,2,2,0.8,1.0,0,12,0.4,0.2,1.0,0.4,0.2,1.0
25,test,classroom,Student raises hand leaning forward emotion sensor occluded,MISSING,raise_hand,stepping_back,stationary,emotion,F04,F04,A15,A15,3,0.95,3,5,0.5,1.0,0,14,0.0,0.0,1.0,0.0,0.0,1.0
26,test,classroom,Visitor seated on gallery bench focused on sketching artwork with neutral expression,neutral,none,sitting,stationary,,F05,F05,A06,A06,4,0.95,0,5,0.0,0.0,0,5,0.0,0.0,1.5,0.0,0.0,1.5
27,test,classroom,Student stands up angrily points at robot stepping toward it,angry,point,walking,toward_robot,,F06,F06,A11,A11,5,0.95,2,0,0.8,1.0,0,10,0.3,0.5,0.5,0.3,0.5,0.5
28,test,classroom,Student scowls angrily while giving an exaggerated thumbs up after being corrected seated,angry,thumbs_up,sitting,stationary,,F07,F07,A08,A08,6,0.95,0,5,0.0,0.0,0,7,0.0,0.05,1.5,0.0,0.05,1.5
29,test,classroom,Student gives thumbs up with disgusted face after finishing a disliked task seated,disgust,thumbs_up,sitting,stationary,,F08,F08,A07,A07,7,0.95,0,5,0.0,0.0,0,6,0.0,0.0,1.2,0.0,0.0,1.2
31,test,classroom,Student drops the crumpled quiz on desk and stands turned away sad arms slack no gesture,sad,none,stepping_back,stationary,,F09,F09,A12,A12,8,0.95,3,5,0.5,1.0,0,11,0.0,0.0,1.0,0.0,0.0,1.0
