clip_id,context,scenario_dir,v3_row,intent,action,split_design,filepath,view,width,height,fps,n_frames,duration_s,bytes,sha256,source,old_clip_id,old_filepath,old_scenario_id,recorded_at,person_id,take_index,emotion_v3,gesture_v3,motion_v3,missing_v3,gt_emotion,context_masked,emotion_masked,gesture_masked,motion_masked,derived_from_row,derived_from_clip_id,dup_of,usable,exclude_kind,exclude_reason,scoreable,caveat,scenario_desc
S01_F01_c001,classroom,S01_F01,1,F01,A01,train,classroom/S01_F01/S01_F01_c001.mp4,realsense_480p,640,480,15,99,6.6,955775,01b97fc82bb111990fce443f877c555ffc092468ca8544b7001597a3ff19c5eb,curated_clip,S02_F01_c003,classroom/S01_F01/S02_F01_c003.mp4,S02_F01,,P02,0,happy,wave,walk,,Happy,FALSE,FALSE,FALSE,FALSE,,,,TRUE,,,TRUE,,Student waves at robot with happy face while walking toward it.
S01_F01_c002,classroom,S01_F01,1,F01,A01,train,classroom/S01_F01/S01_F01_c002.mp4,realsense_480p,640,480,15,85,5.667,900873,cd487efd8aa9148973b0535b001f592fb875775be8fd217d6cf88abedca9aa8c,curated_clip,S02_F01_c015,classroom/S01_F01/S02_F01_c015.mp4,S02_F01,,P02,1,happy,wave,walk,,Happy,FALSE,FALSE,FALSE,FALSE,,,,TRUE,,,TRUE,,Student waves at robot with happy face while walking toward it.
S01_F01_c003,classroom,S01_F01,1,F01,A01,train,classroom/S01_F01/S01_F01_c003.mp4,realsense_480p,640,480,15,73,4.867,686267,2b48c936abe7aa5a1093089a79e758dc046b58a1c9e1b861e99a78c407d8bf5d,curated_clip,S02_F01_c017,classroom/S01_F01/S02_F01_c017.mp4,S02_F01,,P01,2,happy,wave,walk,,Happy,FALSE,FALSE,FALSE,FALSE,,,,TRUE,,,TRUE,,Student waves at robot with happy face while walking toward it.
S01_F01_c004,classroom,S01_F01,1,F01,A01,train,classroom/S01_F01/S01_F01_c004.mp4,realsense_480p,640,480,15,82,5.467,734825,f335f3f4dddaaac9eca4bdf792952c6d7d824d904e6cca2cb7a20a14903e7a4b,curated_clip,S02_F01_c018,classroom/S01_F01/S02_F01_c018.mp4,S02_F01,,P01,3,happy,wave,walk,,Happy,FALSE,FALSE,FALSE,FALSE,,,,TRUE,,,TRUE,,Student waves at robot with happy face while walking toward it.
S01_F01_c005,classroom,S01_F01,1,F01,A01,train,classroom/S01_F01/S01_F01_c005.mp4,realsense_480p,640,480,15,78,5.2,821198,f76bc70f6339aa1bd77c10f3e08398b5c08538b8a609a3be27e38756cb6cd822,curated_clip,S02_F01_c019,classroom/S01_F01/S02_F01_c019.mp4,S02_F01,,P01,4,happy,wave,walk,,Happy,FALSE,FALSE,FALSE,FALSE,,,,TRUE,,,TRUE,,Student waves at robot with happy face while walking toward it.
S01_F01_c006,classroom,S01_F01,1,F01,A01,train,classroom/S01_F01/S01_F01_c006.mp4,realsense_480p,640,480,15,77,5.133,872459,3fc14f6e43cdc43d088bb6afb0cc86c6345a1d4c2233506173d4ad4ff8e58b72,curated_clip,S02_F01_c020,classroom/S01_F01/S02_F01_c020.mp4,S02_F01,,P01,5,happy,wave,walk,,Happy,FALSE,FALSE,FALSE,FALSE,,,,TRUE,,,TRUE,,Student waves at robot with happy face while walking toward it.
S01_F01_c007,classroom,S01_F01,1,F01,A01,train,classroom/S01_F01/S01_F01_c007.mp4,realsense_480p,640,480,15,91,6.067,926625,80bfa596bc3e3888d0ad16a2ca0a3bba0f6efdecf8e199be1b27383bfaad9f21,curated_clip,S02_F01_c022,classroom/S01_F01/S02_F01_c022.mp4,S02_F01,,P04,6,happy,wave,walk,,Happy,FALSE,FALSE,FALSE,FALSE,,,,TRUE,,,TRUE,,Student waves at robot with happy face while walking toward it.
S01_F01_c008,classroom,S01_F01,1,F01,A01,train,classroom/S01_F01/S01_F01_c008.mp4,realsense_480p,640,480,15,67,4.467,729033,741795fed6722317c423090793a0d13799eebfdf1a0c5731858db6cd8cb8463c,curated_clip,S02_F01_c023,classroom/S01_F01/S02_F01_c023.mp4,S02_F01,,P02,7,happy,wave,walk,,Happy,FALSE,FALSE,FALSE,FALSE,,,,TRUE,,,TRUE,,Student waves at robot with happy face while walking toward it.
S01_F01_c009,classroom,S01_F01,1,F01,A01,train,classroom/S01_F01/S01_F01_c009.mp4,realsense_480p,640,480,15,64,4.267,681088,c5f617680580b8553a9469f6caafa4e9b663f61a56c901863bc5d0e923115d8a,curated_clip,S02_F01_c024,classroom/S01_F01/S02_F01_c024.mp4,S02_F01,,P02,8,happy,wave,walk,,Happy,FALSE,FALSE,FALSE,FALSE,,,,TRUE,,,TRUE,,Student waves at robot with happy face while walking toward it.
S01_F01_c010,classroom,S01_F01,1,F01,A01,train,classroom/S01_F01/S01_F01_c010.mp4,realsense_480p,640,480,15,67,4.467,739561,94e477263b6b7d88df2f507756ec860409733350e9154aff014f1e458706dd06,curated_clip,S02_F01_c025,classroom/S01_F01/S02_F01_c025.mp4,S02_F01,,P02,9,happy,wave,walk,,Happy,FALSE,FALSE,FALSE,FALSE,,,,TRUE,,,TRUE,,Student waves at robot with happy face while walking toward it.
